incident_month,incident_year,victim_injury,state,location,site_category,shark_common_name,shark_identification_method,shark_length_m,basis_for_length,provoked_unprovoked,no_sharks,victim_activity,commercial_dive_activity,object_of_bite,present_at_time_of_bite,direction_first_strike,shark_behaviour,victim_aware_of_shark,shark_captured,injury_location,injury_severity,victim_gender,victim_age,dominant_clothing_colour,fin_colour,diversionary_action_taken,diversionary_action_outcome,people_lt_3m,people_3-15m,time_of_incident,depth_of_incident_m,teeth_recovered,time_in_water_min,water_temperature_°c,total_water_depth_m,water_visability_m,distance_to_shore_m,tidal_cycle,wind_condition,weather_condition,air_temperature_°c,personal_protective_device
8,1839,fatal,vic,"wilsons promontory, sealers cove",coastal,white shark,"bite analysis, shark behaviour",-1.0,unknown,provoked,1.0,swimming,y,unknown,"catch, dead animal nearby (whale), swimming",unknown,bit legs,unknown,unknown,leg,major lacerations,male,-1.0,unknown,unknown,unknown,unknown,-1.0,-1.0,-1.0,0.0,unknown,3.0,-1.0,-1.0,-1.0,50.0,unknown,unknown,unknown,-1.0,unknown
12,1840,fatal,nsw,"sydney harbour, woolloomooloo bay",estuary/harbour,bull shark,"bite analysis, shark behaviour, geographical location",-1.0,unknown,unprovoked,1.0,swimming,unknown,unknown,dead animal nearby (whale),unknown,unknown,unknown,unknown,leg,major lacerations,male,-1.0,unknown,unknown,unknown,unknown,-1.0,-1.0,-1.0,-1.0,unknown,-1.0,-1.0,-1.0,-1.0,-1.0,unknown,unknown,unknown,-1.0,unknown
4,1841,fatal,nsw,"sydney harbour, cockatoo island",estuary/harbour,bull shark,"bite analysis, shark behaviour, geographical location",-1.0,unknown,unprovoked,1.0,swimming,unknown,unknown,swimming,unknown,bit victim on leg,unknown,unknown,thigh,major lacerations,male,-1.0,unknown,unknown,unknown,unknown,-1.0,-1.0,-1.0,0.0,unknown,-1.0,-1.0,-1.0,-1.0,12.0,unknown,unknown,unknown,-1.0,unknown
3,1847,injured,qld,moreton bay,coastal,bull shark,"bite analysis, shark behaviour, geographical location",-1.0,unknown,unprovoked,-1.0,swimming,unknown,unknown,unknown,unknown,unknown,unknown,unknown,foot,major lacerations,male,-1.0,unknown,unknown,unknown,unknown,-1.0,-1.0,-1.0,-1.0,unknown,-1.0,-1.0,-1.0,-1.0,-1.0,unknown,unknown,unknown,-1.0,unknown
11,1847,injured,qld,brisbane river,river,bull shark,"bite analysis, shark behaviour, geographical location",-1.0,unknown,unprovoked,1.0,swimming,unknown,unknown,unknown,other: side,bit victim onleg - thigh,y,unknown,"thigh, calf",major lacerations,male,-1.0,unknown,unknown,hit at shark,unknown,-1.0,-1.0,-1.0,0.0,unknown,2.0,-1.0,-1.0,-1.0,5.0,unknown,unknown,unknown,-1.0,unknown
1,1849,fatal,wa,"dunsborough, castle rock, quindalup",ocean/pelagic,white shark,"shark behaviour, geographical location",-1.0,unknown,provoked,1.0,swimming,y,unknown,dead animal nearby (whale),unknown,unknown,unknown,unknown,unknown,unknown,male,-1.0,unknown,unknown,unknown,unknown,-1.0,-1.0,-1.0,0.0,unknown,-1.0,-1.0,-1.0,-1.0,-1.0,unknown,unknown,unknown,-1.0,unknown
12,1849,injured,vic,portland,coastal,white shark,"shark behaviour, geographical location",-1.0,unknown,unprovoked,1.0,swimming,unknown,unknown,unknown,unknown,bit leg,unknown,unknown,leg,other: teeth marks,male,-1.0,unknown,unknown,unknown,unknown,-1.0,-1.0,-1.0,-1.0,unknown,-1.0,-1.0,-1.0,-1.0,-1.0,unknown,unknown,unknown,-1.0,unknown
12,1849,fatal,nsw,"sydney harbour, woolloomooloo bay",estuary/harbour,bull shark,"bite analysis, shark behaviour, geographical location",-1.0,unknown,unprovoked,1.0,swimming,unknown,unknown,unknown,below,bit victim on body,n,unknown,thigh,major lacerations,male,-1.0,unknown,unknown,hit shark with paddle,unknown,-1.0,-1.0,-1.0,-1.0,unknown,-1.0,-1.0,-1.0,-1.0,40.0,unknown,unknown,unknown,-1.0,unknown
1,1850,fatal,qld,moreton bay,coastal,tiger shark,"bite analysis, shark behaviour, geographical location",-1.0,unknown,unprovoked,1.0,swimming,unknown,unknown,boating,unknown,bit victim,unknown,unknown,other: body not recovered,unknown,male,-1.0,unknown,unknown,unknown,unknown,-1.0,-1.0,-1.0,0.0,unknown,-1.0,-1.0,-1.0,-1.0,-1.0,unknown,unknown,unknown,-1.0,unknown
3,1850,injured,nsw,"yamba, clarence head",coastal,whaler shark,"bite analysis, shark behaviour, geographical location",-1.0,unknown,unprovoked,1.0,swimming,unknown,unknown,swimming,unknown,unknown,unknown,unknown,unknown,unknown,male,-1.0,unknown,unknown,unknown,unknown,-1.0,-1.0,-1.0,-1.0,unknown,-1.0,-1.0,-1.0,-1.0,-1.0,unknown,unknown,unknown,-1.0,unknown
11,1853,injured,nsw,sydney harbour,estuary/harbour,wobbegong,"bite analysis, shark behaviour, geographical location",1.0,other: media report,provoked,1.0,swimming,unknown,unknown,unknown,unknown,bit leg,unknown,unknown,leg,minor lacerations,male,-1.0,unknown,unknown,unknown,unknown,-1.0,-1.0,-1.0,-1.0,unknown,-1.0,-1.0,-1.0,-1.0,-1.0,unknown,unknown,unknown,-1.0,unknown
1,1855,injured,qld,mary river,river,bull shark,"bite analysis, shark behaviour, geographical location",-1.0,unknown,unprovoked,1.0,swimming,unknown,unknown,unknown,unknown,bit victims leg off,unknown,unknown,leg,major lacerations,female,-1.0,unknown,unknown,unknown,unknown,-1.0,-1.0,-1.0,-1.0,unknown,-1.0,-1.0,-1.0,-1.0,-1.0,unknown,unknown,unknown,-1.0,unknown
1,1855,uninjured,nsw,"sydney harbour, woolloomooloo bay",estuary/harbour,bull shark,"shark behaviour, geographical location",-1.0,unknown,unprovoked,1.0,swimming,unknown,unknown,unknown,unknown,swam towards victim,y,unknown,other: uninjured,unknown,male,-1.0,unknown,unknown,unknown,unknown,-1.0,-1.0,-1.0,-1.0,unknown,-1.0,-1.0,-1.0,-1.0,-1.0,unknown,unknown,unknown,-1.0,unknown
7,1855,fatal,qld,"torres strait, keriri (hammond island)",island open ocean,tiger shark,"bite analysis, shark behaviour, geographical location",-1.0,unknown,unprovoked,1.0,swimming,unknown,unknown,unknown,unknown,bit victim on torso,unknown,unknown,torso,major lacerations,male,-1.0,unknown,unknown,unknown,unknown,-1.0,-1.0,-1.0,-1.0,unknown,-1.0,-1.0,-1.0,-1.0,-1.0,unknown,unknown,unknown,-1.0,unknown
11,1855,fatal,nsw,"sydney harbour, millers point",estuary/harbour,bull shark,"bite analysis, shark behaviour, geographical location",-1.0,unknown,unprovoked,1.0,swimming,unknown,unknown,unknown,below,bit victim from below,unknown,unknown,leg,major lacerations,male,-1.0,unknown,unknown,unknown,unknown,-1.0,1.0,-1.0,-1.0,unknown,4.0,-1.0,-1.0,-1.0,-1.0,unknown,unknown,unknown,-1.0,unknown
2,1856,injured,vic,"port phillip bay, point henry",coastal,white shark,"bite analysis, shark behaviour, geographical location",-1.0,unknown,unprovoked,1.0,swimming,unknown,unknown,unknown,below,bit victim on leg,unknown,unknown,"thigh, foot",major lacerations,male,18.0,unknown,unknown,kick at shark with other foot,unknown,-1.0,-1.0,2100.0,0.0,unknown,1.0,-1.0,-1.0,-1.0,-1.0,unknown,unknown,unknown,-1.0,unknown
5,1856,injured,sa,"port elliot, horseshoe bay",coastal,wobbegong,"bite analysis, shark behaviour, geographical location",-1.0,unknown,unprovoked,1.0,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,male,-1.0,unknown,unknown,unknown,unknown,-1.0,-1.0,-1.0,-1.0,unknown,-1.0,-1.0,-1.0,-1.0,-1.0,unknown,unknown,unknown,-1.0,unknown
3,1858,fatal,vic,"port phillip bay, williamstown, hobsons bay",coastal,white shark,"bite analysis, shark behaviour, geographical location",-1.0,unknown,unprovoked,1.0,swimming,unknown,unknown,unknown,below,bit victim on leg,unknown,unknown,calf,major lacerations,male,22.0,unknown,unknown,unknown,unknown,-1.0,-1.0,1500.0,0.0,unknown,-1.0,-1.0,-1.0,-1.0,-1.0,unknown,unknown,unknown,-1.0,unknown
1,1860,injured,sa,"victor harbour, encounter bay",coastal,white shark,"bite analysis, shark behaviour, geographical location",-1.0,unknown,unprovoked,-1.0,swimming,unknown,unknown,unknown,unknown,unknown,unknown,unknown,arm,major lacerations,male,-1.0,unknown,unknown,unknown,unknown,-1.0,-1.0,-1.0,-1.0,unknown,-1.0,-1.0,-1.0,-1.0,-1.0,unknown,unknown,unknown,-1.0,unknown
1,1861,injured,qld,"moreton bay, cleveland",coastal,wobbegong,"bite analysis, shark behaviour, geographical location",-1.0,unknown,unprovoked,1.0,swimming,unknown,unknown,unknown,unknown,bit victim on hand,unknown,unknown,"arm, hand",minor lacerations,male,-1.0,unknown,unknown,unknown,unknown,-1.0,-1.0,-1.0,-1.0,unknown,-1.0,-1.0,-1.0,-1.0,-1.0,unknown,unknown,unknown,-1.0,unknown
2,1862,injured,vic,"port phillip bay, geelong, huttons wharf",coastal,white shark,"bite analysis, shark behaviour, geographical location",-1.0,unknown,unprovoked,1.0,swimming,unknown,unknown,unknown,unknown,grazed leg with fin,y,unknown,leg,abrasion,male,-1.0,unknown,unknown,hit out at shark with arm,unknown,-1.0,-1.0,-1.0,0.0,unknown,5.0,-1.0,-1.0,-1.0,-1.0,unknown,unknown,unknown,-1.0,unknown
12,1862,fatal,qld,"brisbane river, brisbane",river,bull shark,"shark behaviour, geographical location",-1.0,unknown,unprovoked,1.0,swimming,unknown,unknown,other: shot bird,unknown,bit victim on torso,y,unknown,other: body not recovered,unknown,male,-1.0,unknown,unknown,unknown,unknown,-1.0,-1.0,-1.0,0.0,unknown,1.0,-1.0,-1.0,-1.0,10.0,unknown,unknown,unknown,-1.0,unknown
1,1863,fatal,nsw,manning river,river,bull shark,"bite analysis, shark behaviour, geographical location",-1.0,unknown,unprovoked,1.0,swimming,unknown,unknown,unknown,unknown,bit victim on right thigh,n,unknown,thigh,major lacerations,male,17.0,unknown,unknown,unknown,unknown,-1.0,-1.0,-1.0,0.0,unknown,-1.0,-1.0,-1.0,-1.0,-1.0,unknown,unknown,unknown,-1.0,unknown
1,1863,fatal,qld,"moreton bay, victoria point",coastal,tiger shark,"bite analysis, shark behaviour, geographical location",-1.0,unknown,provoked,1.0,swimming,unknown,unknown,"catch, boating, other sealife (turtle/s)",unknown,bit victim on legs,unknown,unknown,other: body not recovered,unknown,male,-1.0,unknown,unknown,unknown,unknown,-1.0,-1.0,-1.0,-1.0,unknown,-1.0,-1.0,-1.0,-1.0,-1.0,unknown,unknown,unknown,-1.0,unknown
3,1863,injured,vic,"port phillip bay, brighton bay",coastal,white shark,"bite analysis, shark behaviour, geographical location",-1.0,unknown,unprovoked,1.0,swimming,unknown,unknown,unknown,unknown,bit victim on torso,unknown,unknown,"torso, leg",major lacerations,male,-1.0,unknown,unknown,swam to shore,unknown,-1.0,-1.0,2000.0,1.0,unknown,5.0,-1.0,-1.0,-1.0,-1.0,unknown,unknown,unknown,-1.0,unknown
4,1863,fatal,qld,"sunshine coast, caloundra heads",coastal,tiger shark,"bite analysis, shark behaviour, geographical location",-1.0,unknown,unprovoked,2.0,unknown,unknown,unknown,boating,unknown,bit victim,unknown,unknown,other: body not recovered,unknown,male,-1.0,unknown,unknown,unknown,unknown,-1.0,-1.0,-1.0,0.0,unknown,5.0,-1.0,-1.0,-1.0,-1.0,unknown,unknown,unknown,-1.0,unknown
11,1865,fatal,vic,"port phillip bay, williamstown",coastal,white shark,"bite analysis, shark behaviour, geographical location",-1.0,unknown,unprovoked,-1.0,swimming,unknown,unknown,unknown,unknown,unknown,unknown,unknown,thigh,major lacerations,male,33.0,unknown,unknown,unknown,unknown,-1.0,-1.0,-1.0,-1.0,unknown,-1.0,-1.0,-1.0,-1.0,-1.0,unknown,unknown,unknown,-1.0,unknown
1,1868,injured,qld,"yeppoon, nth keppel",coastal,tiger shark,"bite analysis, shark behaviour, geographical location",-1.0,unknown,unprovoked,1.0,swimming,unknown,unknown,unknown,unknown,bit victims leg off,unknown,unknown,leg,major lacerations,male,-1.0,unknown,unknown,unknown,unknown,-1.0,-1.0,-1.0,-1.0,unknown,-1.0,-1.0,-1.0,-1.0,-1.0,unknown,unknown,unknown,-1.0,unknown
